DISEASES,BR01,BR02,BR03,BR04,M,F,W01,W02,W03,A01,A02,A03,SY001,SY002,SY003,SY004,SY005,SY006,SY007,SY008,SY009,SY010,SY011,SY012,SY013,SY014,SY015,SY016,SY017,SY018,SY019,SY020,SY021,SY022,SY023,SY024,SY025,SY026,SY027,SY028,SY029,SY030,SY031,SY032
DI001,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,1,2,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0
DI002,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,0,0,0,0
DI003,1,1,0,0,1,1,0,0,0,2,2,3,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
DI004,0,1,1,1,1,1,0,0,0,2,1,2,4,0,0,3,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3
DI005,0,1,1,1,1,1,0,0,0,1,1,2,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,0,2,0,0,0,0,0,0,0
DI006,1,0,1,1,1,1,0,0,0,2,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
DI007,1,0,1,1,1,1,0,0,0,2,1,2,3,0,0,0,2,0,0,3,3,0,2,3,0,0,0,0,0,0,0,2,0,0,0,3,3,0,0,2,0,0,0,0
DI008,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
DI009,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DI010,1,1,1,1,1,1,0,0,0,0,0,0,0,3,0,2,0,0,0,2,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,2,0,0,0,2
DI011,1,1,0,0,1,1,0,0,0,0,0,0,0,3,0,2,0,0,0,2,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,2,0,0,0,2
DI012,1,1,0,0,1,1,0,0,0,0,0,0,0,3,0,2,0,0,0,3,2,0,2,2,0,0,0,0,0,2,2,0,0,3,0,0,0,0,0,2,0,0,0,0
DI013,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,0,0,2,0,0,0,2,0,2,2,3,0,0,0,3,2,0,0,0,0,0,2
DI014,1,0,1,1,1,1,0,0,0,1,2,2,3,0,0,2,2,2,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DI015,1,1,1,1,1,1,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2
DI016,1,1,1,1,1,1,0,0,0,0,0,0,2,3,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2
DI017,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1
DI018,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
DI019,1,1,1,1,1,1,0,0,0,0,2,2,0,2,0,1,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
DI020,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0
DI021,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
DI022,1,1,0,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DI023,1,1,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
DI024,1,1,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
DI025,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0
DI026,1,1,0,0,0,1,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,3,0,0,0,0,0
DI027,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DI028,1,1,1,1,1,1,3,1,1,2,2,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
DI029,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DI030,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
